PARS,NAME,TYPE,LENGTH,INITIAL_VALUE,FLAG_TEST_PAR,FLAG_MODE_NONE_ONLY,FLAG_FIELD_REG,FLAG_CURRENT_REG,FLAG_VOLTAGE_REG,GROUP_PC_SIM,GROUP_PC_SIM_NOISE_AND_TONE,GROUP_INVERT_LIMITS,GROUP_V_LIMITS_REF,GROUP_V_LIMITS_ERR,GROUP_I_LIMITS_MEAS,GROUP_I_LIMITS_REF,GROUP_I_LIMITS_ERR,GROUP_B_LIMITS_MEAS,GROUP_B_LIMITS_REF,GROUP_B_LIMITS_ERR,GROUP_I_LIMITS_RMS,GROUP_I_LIMITS_RMS_LOAD,GROUP_I_MEAS_REG_SELECT,GROUP_I_MEAS_FILTER,GROUP_B_MEAS_REG_SELECT,GROUP_B_MEAS_FILTER,GROUP_MEAS_SIM_DELAYS,GROUP_MEAS_SIM_NOISE_AND_TONE,GROUP_LOAD,GROUP_LOAD_SAT,GROUP_LOAD_SIM,GROUP_VREG,GROUP_IREG,GROUP_BREG,GROUP_LOAD_TEST,GROUP_LOAD_SAT_TEST,GROUP_IREG_TEST,GROUP_BREG_TEST
LOAD,I_SAT_END,REG_float,REG_NUM_LOADS,0,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO
LOAD,GAUSS_PER_AMP,REG_float,REG_NUM_LOADS,1,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES
LOAD,SIM_TC_ERROR,REG_float,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
LOAD,SELECT,uint32_t,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LOAD,TEST_SELECT,uint32_t,1,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
MEAS,B_REG_SELECT,enum REG_meas_select,1,REG_MEAS_UNFILTERED,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
MEAS,I_REG_SELECT,enum REG_meas_select,1,REG_MEAS_UNFILTERED,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
MEAS,B_DELAY_ITERS,REG_float,1,1.3,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
MEAS,I_DELAY_ITERS,REG_float,1,1.3,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
MEAS,V_DELAY_ITERS,REG_float,1,1.3,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES
